,loading_pu
L_WECC_NW_WECC_SW,0.6
L_WECC_SW_SPP_MISO,0.4
L_SPP_MISO_ERCOT,0.15000000000000005
L_SPP_MISO_PJM_NE,0.35000000000000003
L_PJM_NE_SERC_SE,0.04999999999999998
L_SERC_SE_ERCOT,0.45
