,loading_pu
L_WECC_NW_WECC_SW,0.2
L_WECC_SW_SPP_MISO,0.4
L_SPP_MISO_ERCOT,0.3
L_SPP_MISO_PJM_NE,0.3
L_PJM_NE_SERC_SE,0.5
L_SERC_SE_ERCOT,0.5
